iter	Passed	Remaining
0	115	13707
1	181	10718
2	365	14241
3	512	14862
4	660	15190
5	758	14409
6	867	14003
7	985	13795
8	1113	13733
9	1206	13274
10	1335	13235
11	1484	13362
12	1654	13621
13	1834	13887
14	1943	13605
15	2097	13631
16	2301	13947
17	2511	14234
18	2769	14724
19	3210	16050
20	3612	17028
21	4018	17901
22	4511	19026
23	5054	20219
24	5661	21514
25	5956	21533
26	6518	22454
27	6837	22466
28	7118	22337
29	7487	22463
30	7681	22052
31	7934	21819
32	8181	21569
33	8413	21280
34	8672	21062
35	8855	20662
36	9349	20972
37	9613	20745
38	9863	20484
39	10078	20156
40	10338	19919
41	10596	19679
42	10752	19254
43	10881	18795
44	11027	18378
45	11214	18041
46	11371	17661
47	11540	17311
48	11690	16939
49	11927	16697
50	12079	16342
51	12225	15987
52	12442	15729
53	12605	15406
54	12844	15179
55	13010	14869
56	13256	14652
57	13389	14312
58	13518	13977
59	13635	13635
60	13774	13323
61	13884	12988
62	13998	12664
63	14169	12397
64	14331	12126
65	14552	11906
66	14694	11623
67	14840	11348
68	14983	11074
69	15151	10822
70	15277	10543
71	15412	10275
72	15536	10003
73	15683	9749
74	15824	9494
75	16008	9267
76	16204	9049
77	16384	8822
78	16466	8546
79	16543	8271
80	16689	8035
81	16865	7815
82	17012	7583
83	17216	7378
84	17432	7178
85	17532	6931
86	17611	6680
87	17714	6441
88	17831	6211
89	18088	6029
90	18280	5825
91	18463	5619
92	18578	5393
93	18715	5176
94	18843	4958
95	19079	4769
96	19250	4564
97	19399	4354
98	19568	4150
99	19711	3942
100	19801	3725
101	19953	3521
102	20119	3320
103	20247	3114
104	20336	2905
105	20605	2721
106	20746	2520
107	20828	2314
108	20930	2112
109	21085	1916
110	21187	1717
111	21275	1519
112	21393	1325
113	21614	1137
114	21810	948
115	22137	763
116	22403	574
117	22604	383
118	22741	191
119	22872	0
